  -119.10  33.80  46025
  -119.50  32.40  46047
  -119.84  34.25  46053
  -120.46  34.27  46054
  -120.70  34.30  46063
  -120.20  33.67  46069
  -119.80  34.33  46216
  -119.44  34.17  46217
  -120.77  34.45  46218
  -119.88  33.22  46219
  -118.63  33.85  46221
  -118.32  33.62  46222
  -117.39  32.93  46225
  -117.37  32.75  46231
  -117.43  32.53  46232
  -119.50  33.50  46238
  -119.71  33.82  46249
  -119.20  33.00  46024
  -117.90  32.90  46048
  -117.44  32.63  46227
  -120.70  34.48  46051
  -117.47  33.18  46224

