  -120.90  34.90  46011
  -122.70  37.40  46012
  -123.30  38.20  46013
  -124.00  39.20  46014
  -124.80  42.70  46015
  -124.50  40.80  46022
  -121.00  34.70  46023
  -119.10  33.80  46025
  -122.83  37.76  46026
  -124.38  41.85  46027
  -121.90  35.70  46028
  -124.20  46.20  46029
  -124.80  47.40  46041
  -122.47  36.79  46042
  -119.50  32.40  46047
  -124.50  44.60  46050
  -119.84  34.25  46053
  -120.46  34.27  46054
  -120.70  34.30  46063
  -120.20  33.67  46069
  -118.00  32.00  46086
  -125.00  48.00  46087
  -126.00  46.00  46089
  -124.30  44.63  46094
  -122.34  36.71  46114
  -127.93  49.74  46132
  -126.00  48.84  46206
  -124.74  40.29  46213
  -123.47  37.95  46214
  -119.80  34.33  46216
  -119.44  34.17  46217
  -120.77  34.45  46218
  -119.88  33.22  46219
  -118.63  33.85  46221
  -118.32  33.62  46222
  -117.39  32.93  46225
  -124.55  43.77  46229
  -117.37  32.75  46231
  -117.43  32.53  46232
  -121.95  36.76  46236
  -122.60  37.78  46237
  -119.50  33.50  46238
  -124.36  40.89  46244
  -122.83  37.75  46247
  -124.67  46.13  46248
  -119.71  33.82  46249
  -119.20  33.00  46024
  -117.90  32.90  46048
  -117.44  32.63  46227
  -120.70  34.48  46051
  -121.01  35.10  46062
  -124.40  41.90  46038
  -124.30  44.80  46040
  -122.10  36.34  46239
  -117.47  33.18  46224

