  -148.00  56.00  '46001'
  -130.00  42.50  '46002'
  -131.00  46.00  '46005'
  -137.50  41.00  '46006'
  -177.70  56.90  '46035'
  -133.94  48.35  '46036'
  -130.00  38.00  '46059'
  -146.80  60.20  '46061'
  -155.00  52.60  '46066'
  -185.00  55.00  '46070'
  -181.00  51.00  '46071'
  -172.20  51.60  '46072'
  -172.00  55.00  '46073'
  -161.00  54.00  '46075'
  -148.00  59.00  '46076'
  -154.00  58.00  '46077'
  -152.00  56.00  '46078'
  -150.00  58.00  '46080'
  -143.40  59.70  '46082'
  -138.00  58.20  '46083'
  -136.20  56.50  '46084'
  -143.00  56.00  '46085'
  -131.22  51.83  '46147'
  -138.85  53.91  '46184'
  -129.79  52.42  '46185'
  -128.75  51.37  '46204'
  -134.28  54.16  '46205'
  -129.92  50.87  '46207'
  -132.69  52.52  '46208'
  -145.09  49.99  '46246'
  -154.06  23.55  '51000'
  -162.00  23.50  '51001'
  -157.80  17.20  '51002'
  -160.60  19.00  '51003'
  -152.50  17.40  '51004'
  -153.90   0.00  '51028'
  -162.00  24.50  '51101'
   145.00  13.35  '52200'
  -144.70  13.70  '52009'
  -120.60  23.70  '46290'
  -155.90  51.83  '46003'
  -120.90  34.90  '46011'
  -122.70  37.40  '46012'
  -123.30  38.20  '46013'
  -124.00  39.20  '46014'
  -124.80  42.70  '46015'
  -124.50  40.80  '46022'
  -121.00  34.70  '46023'
  -119.10  33.80  '46025'
  -122.83  37.76  '46026'
  -124.38  41.85  '46027'
  -121.90  35.70  '46028'
  -124.20  46.20  '46029'
  -124.80  47.40  '46041'
  -122.47  36.79  '46042'
  -119.50  32.40  '46047'
  -124.50  44.60  '46050'
  -119.84  34.25  '46053'
  -120.46  34.27  '46054'
  -120.70  34.30  '46063'
  -120.20  33.67  '46069'
  -118.00  32.00  '46086'
  -125.00  48.00  '46087'
  -126.00  46.00  '46089'
  -124.30  44.63  '46094'
  -122.34  36.71  '46114'
  -127.93  49.74  '46132'
  -126.00  48.84  '46206'
  -124.74  40.29  '46213'
  -123.47  37.95  '46214'
  -119.80  34.33  '46216'
  -119.44  34.17  '46217'
  -120.77  34.45  '46218'
  -119.88  33.22  '46219'
  -118.63  33.85  '46221'
  -118.32  33.62  '46222'
  -117.39  32.93  '46225'
  -124.55  43.77  '46229'
  -117.37  32.75  '46231'
  -117.43  32.53  '46232'
  -121.95  36.76  '46236'
  -122.60  37.78  '46237'
  -119.50  33.50  '46238'
  -124.36  40.89  '46244'
  -122.83  37.75  '46247'
  -124.67  46.13  '46248'
  -119.71  33.82  '46249'
  -119.20  33.00  '46024'
  -117.90  32.90  '46048'
  -117.44  32.63  '46227'
  -120.70  34.48  '46051'
  -121.01  35.10  '46062'
  -124.00  41.90  '46038'
  -124.30  44.80  '46040'
  -122.10  36.34  '46239'
  -117.47  33.18  '46224'
  -158.12  21.67  '51201'
  -157.01  20.79  '51203'
  -158.12  21.28  '51204'
  -156.43  21.02  '51205'
  -154.97  19.78  '51206'
  -158.30  21.10  '51200'
  -156.93  21.35  '51026'
  -157.10  20.40  '51027'
  -156.10  20.40  '51005'

