  -148.00  56.00  46001
  -130.00  42.50  46002
  -131.00  46.00  46005
  -137.50  41.00  46006
  -177.70  56.90  46035
  -133.94  48.35  46036
  -130.00  38.00  46059
  -146.80  60.20  46061
  -155.00  52.60  46066
  -185.00  55.00  46070
  -181.00  51.00  46071
  -172.20  51.60  46072
  -172.00  55.00  46073
  -161.00  54.00  46075
  -148.00  59.00  46076
  -154.00  58.00  46077
  -152.00  56.00  46078
  -150.00  58.00  46080
  -143.40  59.70  46082
  -138.00  58.20  46083
  -136.20  56.50  46084
  -143.00  56.00  46085
  -131.22  51.83  46147
  -138.85  53.91  46184
  -129.79  52.42  46185
  -128.75  51.37  46204
  -134.28  54.16  46205
  -129.92  50.87  46207
  -132.69  52.52  46208
  -145.09  49.99  46246
  -154.06  23.55  51000
  -162.00  23.50  51001
  -157.80  17.20  51002
  -160.60  19.00  51003
  -152.50  17.40  51004
  -153.90   0.00  51028
  -162.00  24.50  51101
   145.00  13.35  52200
  -144.70  13.70  52009
  -120.60  23.70  46290
  -155.90  51.83  46003

